"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"50697";"RES-385094";"SM302-39498";474099;4;"Sixt";"Germany";"52";"1033.45";"2019";"1/9/2022";18;"21/8/2022";8;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;"58978";"302";"FFAR";"FFAR";"70.20";"205.23";"639.27";"Corporate-Sixt-Sixt";"Corporate";1;"BMW";"Black";"Sixt Import Rates";"IN";"124.86";"43.33"
"29292";"RES-363075";"SM002-80671";449852;5;"Online Broker";"Denmark";"56";"946.75";"2022";"2/8/2022";13;"2/7/2022";15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"9637";"2";"FFAR";"FFAR";"0.00";"0.00";"763.51";"Retail Brokers Sixt";"Retail";0;"BMW";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"38248";"RES-376659";"SM611-3817";464841;14;"Sixt";"Germany";"36";"0.00";"2019";"25/8/2022";19;"1/8/2022";22;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39477";"611";"EDMR";"EDMR";"0.00";"50.82";"847.88";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"165.31";"0.00"
"4622";"RES-349335";"NULL";102866;14;"Sixt";"Germany";"57";"0.00";"NULL";"25/6/2022";10;"2/6/2022";10;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"NULL";"802";"MDMR";"MDMR";"49.70";"0.00";"554.71";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"67565";"NULL";"SM701-18932";220624;4;"Walk in";"Serbia";"43";"0.00";"2018";"7/7/2022";21;"7/7/2022";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"15082";"701";"MTAR";"MTAR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";1;"Fiat";"White";"Walk In Rates";"IN";"NULL";"NULL"
"6182";"RES-319670";"SM312-16379";367421;10;"Sixt";"Germany";"30";"0.00";"2019";"7/6/2022";16;"4/3/2022";18;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"40768";"312";"MDMR";"MDMR";"39.70";"0.00";"541.29";"Retail Brokers Sixt";"Retail";1;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"65004";"NULL";"SM701-19623";461782;3;"Walk in";"Qatar";"21";"0.00";"2019";"26/7/2022";9;"26/7/2022";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"14494";"701";"ETAR";"ETAR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"MINI";"White";"Walk In Rates";"IN";"NULL";"NULL"
"42121";"RES-370017";"NULL";457317;7;"Sixt";"Germany";"30";"0.00";"NULL";"7/8/2022";10;"16/7/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"503";"MDMR";"MDMR";"0.00";"0.00";"342.21";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"454";"RES-28597";"SM3MO-1347";89268;30;"Corporate";"Greece";"67";"0.00";"2017";"11/6/2022";10;"29/7/2018";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"107500";"003-MO";"CCAR";"CCAR";"0.00";"0.00";"0.00";"";"NULL";50;"Renault";"Red";"Corporate 3";"IN";"0.00";"0.00"
"20678";"RES-344333";"SM002-79000";430273;9;"Sixt";"France";"56";"0.00";"2021";"15/7/2022";11;"25/5/2022";14;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"39505";"2";"CFAR";"CFMR";"100.53";"32.67";"997.59";"Retail-Sixt-Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
